,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
2391,GCA_000636215.1,Staphylococcus aureus 08-01728,homo sapiens,bodily fluid,,,,2614,,allpaths v. R48559,SAMN02391174,08-01728,,,Scaffold,5,201389,,33.0,90.0,28,25,98.78,0.39,v1.2.3,PRJNA226300,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636215.1,,Germany,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2392,GCA_000636255.1,Staphylococcus aureus 08134-6,rattus,bodily fluid,,,,2622,,allpaths v. R48559,SAMN02391424,08134-6,,,Scaffold,4,292746,,33.0,90.0,29,26,98.67,0.39,v1.2.3,PRJNA226552,,rattus | bodily fluid,rodent,bodily fluid,GCA_000636255.1,,Belgium,,Bodily fluid,,,,,,"Rat, Rattus sp.",Rattus norvegicus
2393,GCA_000636275.1,Staphylococcus aureus 08139-6,rattus,bodily fluid,,,,2647,,allpaths v. R48559,SAMN02391425,08139-6,,,Scaffold,5,158068,,33.0,92.0,43,42,97.91,0.39,v1.2.3,PRJNA226553,,rattus | bodily fluid,rodent,bodily fluid,GCA_000636275.1,,Netherlands,,Bodily fluid,,,,,,"Rat, Rattus sp.",Rattus norvegicus
2394,GCA_000296595.1,Staphylococcus aureus 08BA02176,homo sapiens,soft tissue infection of skin,,,,2779,,Newbler v. 1.1.03.24,SAMN02603722,08BA02176,,,Complete Genome,1,2782313,,33.0,,1,1,98.68,0.24,v1.2.3,PRJNA174226,,homo sapiens | soft tissue infection of skin,human,soft tissue infection of skin,GCA_000296595.1,,Canada,,soft tissue infection of skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2395,GCA_000296595.1,Staphylococcus aureus 08BA02176,homo sapiens,soft tissue infection of skin,,,,2779,,Newbler v. 1.1.03.24,SAMN02603722,08BA02176,,,Complete Genome,1,2782313,,33.0,,1,1,98.68,0.24,v1.2.3,PRJNA174226,,homo sapiens | soft tissue infection of skin,human,soft tissue infection of skin,GCA_000296595.1,,Canada,,soft tissue infection of skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2396,GCA_000636335.1,Staphylococcus aureus 09S00475,gallus gallus,tissues,,,,2671,,allpaths v. R48559,SAMN02391182,09S00475,,,Scaffold,4,234350,,33.0,88.0,46,42,98.78,0.45,v1.2.3,PRJNA226308,,gallus gallus | tissues,chicken,tissues,GCA_000636335.1,,Germany,,Food Product (ENVO:00002002); Chicken broiler meat,,,,,,,
2397,GCA_000636355.1,Staphylococcus aureus 10S01493,meleagris gallopavo,tissues,,,,2739,,allpaths v. R48559,SAMN02391185,10S01493,,,Scaffold,6,122711,,33.0,89.0,46,42,98.76,1.23,v1.2.3,PRJNA226311,,meleagris gallopavo | tissues,wild turkey,tissues,GCA_000636355.1,,Germany,,Food Product (ENVO:00002002); Turkey meat,,,,,,,
2398,GCA_000636375.1,Staphylococcus aureus 110802495,homo sapiens,bodily fluid,,,,2590,,allpaths v. R48559,SAMN02391250,110802495,,,Scaffold,5,134954,,33.0,91.0,32,30,98.78,0.45,v1.2.3,PRJNA226376,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636375.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2399,GCA_000636415.1,Staphylococcus aureus 1110601896,homo sapiens,bodily fluid,,,,2592,,allpaths v. R48559,SAMN02391246,1110601896,,,Scaffold,6,149900,,33.0,91.0,35,29,98.29,0.39,v1.2.3,PRJNA226372,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636415.1,,Netherlands,,Bodily fluid; Vagina,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2400,GCA_000636435.1,Staphylococcus aureus 1110700562,homo sapiens,bodily fluid,,,,2554,,allpaths v. R48559,SAMN02391247,1110700562,,,Scaffold,5,180677,,33.0,92.0,33,30,98.76,0.55,v1.2.3,PRJNA226373,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636435.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2401,GCA_000636455.1,Staphylococcus aureus 1110700610,homo sapiens,bodily fluid,,,,2622,,allpaths v. R48559,SAMN02391248,1110700610,,,Scaffold,4,308751,,33.0,90.0,32,31,98.41,0.39,v1.2.3,PRJNA226374,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636455.1,,Netherlands,,Bodily fluid; Throat,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2402,GCA_000636475.1,Staphylococcus aureus 1110701127,homo sapiens,bodily fluid,,,,2590,,allpaths v. R48559,SAMN02391249,1110701127,,,Scaffold,3,320749,,33.0,90.0,46,42,98.45,1.89,v1.2.3,PRJNA226375,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636475.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2403,GCA_000636495.1,Staphylococcus aureus 1110802883,homo sapiens,bodily fluid,,,,2547,,allpaths v. R48559,SAMN02391251,1110802883,,,Scaffold,6,137848,,33.0,95.0,34,31,98.57,0.39,v1.2.3,PRJNA226377,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636495.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2404,GCA_000636535.1,Staphylococcus aureus 1110807699,homo sapiens,bodily fluid,,,,2577,,allpaths v. R48559,SAMN02391253,1110807699,,,Scaffold,4,201383,,33.0,89.0,27,26,98.78,0.45,v1.2.3,PRJNA226379,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636535.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2405,GCA_000636555.1,Staphylococcus aureus 1110904178,homo sapiens,bodily fluid,,,,2631,,allpaths v. R48559,SAMN02391254,1110904178,,,Scaffold,7,129372,,33.0,91.0,45,42,98.76,0.56,v1.2.3,PRJNA226380,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636555.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2406,GCA_000636635.1,Staphylococcus aureus 1111101949,homo sapiens,bodily fluid,,,,2576,,allpaths v. R48559,SAMN02391259,1111101949,,,Scaffold,4,185843,,33.0,88.0,30,28,98.78,1.04,v1.2.3,PRJNA226385,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636635.1,,Netherlands,,Bodily fluid; Wound,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2407,GCA_000636655.1,Staphylococcus aureus 1111102620,homo sapiens,bodily fluid,,,,2589,,allpaths v. R48559,SAMN02391260,1111102620,,,Scaffold,5,234262,,33.0,89.0,34,33,98.73,0.45,v1.2.3,PRJNA226386,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636655.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2408,GCA_000636675.1,Staphylococcus aureus 1111200013,homo sapiens,bodily fluid,,,,2644,,allpaths v. R48559,SAMN02391261,1111200013,,,Scaffold,4,214797,,33.0,95.0,45,44,98.27,0.39,v1.2.3,PRJNA226387,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636675.1,,Netherlands,,Bodily fluid; Urine,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2409,GCA_000636695.1,Staphylococcus aureus 1111203374,homo sapiens,bodily fluid,,,,2613,,allpaths v. R48559,SAMN02391262,1111203374,,,Scaffold,6,145725,,33.0,89.0,49,45,98.2,0.45,v1.2.3,PRJNA226388,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636695.1,,Netherlands,,Bodily fluid; Blood,,Human,,Human,Sick,"Human, Homo sapiens",Homo sapiens
2410,GCA_000636735.1,Staphylococcus aureus 1111206270,homo sapiens,bodily fluid,,,,2693,,allpaths v. R48559,SAMN02391264,1111206270,,,Scaffold,6,150224,,33.0,89.0,48,44,98.78,0.51,v1.2.3,PRJNA226390,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636735.1,,Netherlands,,Bodily fluid; Nose,,Human,,Human,Healthy,"Human, Homo sapiens",Homo sapiens
2411,GCA_000636755.1,Staphylococcus aureus 11P4,sus scrofa,bodily fluid,,,,2622,,allpaths v. R48559,SAMN02391414,11P4,,,Scaffold,5,170792,,33.0,95.0,35,34,98.46,0.39,v1.2.3,PRJNA226542,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000636755.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2412,GCA_000636775.1,Staphylococcus aureus 11P8,sus scrofa,bodily fluid,,,,2701,,allpaths v. R48559,SAMN02391415,11P8,,,Scaffold,6,137424,,33.0,92.0,49,45,98.17,1.0,v1.2.3,PRJNA226543,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000636775.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2413,GCA_000636815.1,Staphylococcus aureus 11S00627,gallus gallus,tissues,,,,2666,,allpaths v. R48559,SAMN02391187,11S00627,,,Scaffold,5,206347,,33.0,89.0,34,31,98.78,0.6,v1.2.3,PRJNA226313,,gallus gallus | tissues,chicken,tissues,GCA_000636815.1,,Germany,,Food Product (ENVO:00002002); Chicken broiler meat,,,,,,,
2414,GCA_000636875.1,Staphylococcus aureus 12-03481,bos taurus,excreted bodily substance,,,,2579,,allpaths v. R48559,SAMN02391181,12-03481,,,Scaffold,8,105744,,32.5,87.0,46,36,97.73,0.39,v1.2.3,PRJNA226307,,bos taurus | excreted bodily substance,cow,excreted bodily substance,GCA_000636875.1,,Germany,,Excreted bodily substance; Milk (masitis),,Cow,,Nonhuman Mammal,Sick,Bos taurus,Bos taurus
2415,GCA_000637055.1,Staphylococcus aureus 12-ST01988,meleagris gallopavo,tissues,,,,2758,,allpaths v. R48559,SAMN02391198,12-ST01988,,,Scaffold,5,143861,,33.0,92.0,49,45,98.62,0.75,v1.2.3,PRJNA226324,,meleagris gallopavo | tissues,wild turkey,tissues,GCA_000637055.1,,Germany,,Food Product (ENVO:00002002); Turkey meat,,,,,,,
2416,GCA_000636895.1,Staphylococcus aureus 122,homo sapiens,bodily fluid,,,,2566,,allpaths v. R48559,SAMN02391318,122,,,Scaffold,5,236374,,33.0,89.0,28,26,98.9,0.41,v1.2.3,PRJNA226445,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000636895.1,,Trinidad and Tobago,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2417,GCA_000636915.1,Staphylococcus aureus 12464,gallus gallus,bodily fluid,,,,2653,,allpaths v. R48559,SAMN02391243,12464,,,Scaffold,6,186088,,33.0,90.0,44,41,98.78,0.39,v1.2.3,PRJNA226369,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000636915.1,,Italy,,Bodily fluid,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2418,GCA_000636935.1,Staphylococcus aureus 12S00040,gallus gallus,bodily fluid,,,,2548,,allpaths v. R48559,SAMN02391191,12S00040,,,Scaffold,8,82862,,32.5,90.0,49,44,98.46,0.39,v1.2.3,PRJNA226317,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000636935.1,,Germany,,Bodily fluid; Skin,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2419,GCA_000636975.1,Staphylococcus aureus 12S00881,meleagris gallopavo,tissues,,,,2668,,allpaths v. R48559,SAMN02391193,12S00881,,,Scaffold,6,166122,,33.0,133.0,30,25,98.62,0.75,v1.2.3,PRJNA226319,,meleagris gallopavo | tissues,wild turkey,tissues,GCA_000636975.1,,Germany,,Food Product (ENVO:00002002); Turkey meat,,,,,,,
2420,GCA_000636995.1,Staphylococcus aureus 12S01153,meleagris gallopavo,tissues,,,,2754,,allpaths v. R48559,SAMN02391195,12S01153,,,Scaffold,6,140852,,33.0,87.0,46,42,98.67,0.75,v1.2.3,PRJNA226321,,meleagris gallopavo | tissues,wild turkey,tissues,GCA_000636995.1,,Germany,,Food Product (ENVO:00002002); Turkey meat,,,,,,,
2421,GCA_000637015.1,Staphylococcus aureus 12S01399,meleagris gallopavo,tissues,,,,2666,,allpaths v. R48559,SAMN02391196,12S01399,,,Scaffold,7,127518,,33.0,87.0,41,36,98.2,0.45,v1.2.3,PRJNA226322,,meleagris gallopavo | tissues,wild turkey,tissues,GCA_000637015.1,,Germany,,Food Product (ENVO:00002002); Turkey meat,,,,,,,
2422,GCA_000637095.1,Staphylococcus aureus 14(11MN_17-08-66-05),homo sapiens,bodily fluid,,,,2593,,allpaths v. R48559,SAMN02391389,14(11MN_17-08-66-05),,,Scaffold,3,417379,,33.0,90.0,38,36,98.69,1.39,v1.2.3,PRJNA226517,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000637095.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2423,GCA_000637115.1,Staphylococcus aureus 150211/pool 1,sus scrofa,bodily fluid,,,,2586,,allpaths v. R48559,SAMN02391228,150211/pool 1,,,Scaffold,5,210838,,33.0,93.0,46,44,98.64,0.45,v1.2.3,PRJNA226354,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637115.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2424,GCA_000637135.1,Staphylococcus aureus 16(11S1S4-09),gallus gallus,bodily fluid,,,,2654,,allpaths v. R48559,SAMN02391385,16(11S1S4-09),,,Scaffold,5,145906,,33.0,93.0,41,39,98.46,0.4,v1.2.3,PRJNA226513,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000637135.1,,Netherlands,,Chicken bodily fluid,,,,,,,
2425,GCA_000637155.1,Staphylococcus aureus 18439-17,sus scrofa,bodily fluid,,,,2586,,allpaths v. R48559,SAMN02391229,18439-17,,,Scaffold,3,410172,,33.0,91.0,31,29,98.98,0.78,v1.2.3,PRJNA226355,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637155.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2426,GCA_000637175.1,Staphylococcus aureus 18439-62,sus scrofa,bodily fluid,,,,2637,,allpaths v. R48559,SAMN02391232,18439-62,,,Scaffold,4,201072,,33.0,90.0,40,35,98.77,0.45,v1.2.3,PRJNA226358,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637175.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2427,GCA_000637215.1,Staphylococcus aureus 19571,canis lupus familiaris,bodily fluid,,,,2648,,allpaths v. R48559,SAMN02391160,19571,,,Scaffold,6,178917,,33.0,90.0,45,40,98.64,0.51,v1.2.3,PRJNA226286,,canis lupus familiaris | bodily fluid,dog,bodily fluid,GCA_000637215.1,,France,,Bodily fluid; Vagina,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
2428,GCA_000637235.1,Staphylococcus aureus 2(04HN_17-03-52-05),homo sapiens,bodily fluid,,,,2671,,allpaths v. R48559,SAMN02391388,2(04HN_17-03-52-05),,,Scaffold,3,215105,,33.0,93.0,35,33,98.69,1.57,v1.2.3,PRJNA226516,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000637235.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2429,GCA_000637255.1,Staphylococcus aureus 2009-60-561-1,gallus gallus,bodily fluid,,,,2711,,allpaths v. R48559,SAMN02391346,2009-60-561-1,,,Scaffold,4,191379,,33.0,94.0,43,39,98.11,0.43,v1.2.3,PRJNA226474,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000637255.1,,Germany,,Bodily fluid,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2430,GCA_000637295.1,Staphylococcus aureus 2010-60-6063-29,gallus gallus,tissues,,,,2590,,allpaths v. R48559,SAMN02391155,2010-60-6063-29,,,Scaffold,6,185843,,33.0,90.0,34,27,98.73,0.65,v1.2.3,PRJNA226281,,gallus gallus | tissues,chicken,tissues,GCA_000637295.1,,Denmark,,Food Product (ENVO:00002002); Chicken broiler meat,,,,,,,
2431,GCA_000637315.1,Staphylococcus aureus 2010-60-6063-39,gallus gallus,bodily fluid,,,,2646,,allpaths v. R48559,SAMN02391343,2010-60-6063-39,,,Scaffold,4,204321,,33.0,91.0,33,32,98.5,0.39,v1.2.3,PRJNA226471,,gallus gallus | bodily fluid,chicken,bodily fluid,GCA_000637315.1,,Germany,,Bodily fluid,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2432,GCA_000637335.1,Staphylococcus aureus 2010-60-6511-10,bos taurus,bodily fluid,,,,2695,,allpaths v. R48559,SAMN02391342,2010-60-6511-10,,,Scaffold,8,138708,,33.0,90.0,49,45,98.68,0.56,v1.2.3,PRJNA226470,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637335.1,,Netherlands,,Bodily fluid,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2433,GCA_000637395.1,Staphylococcus aureus 2010-60-7626-19,gallus gallus,tissues,,,,2606,,allpaths v. R48559,SAMN02391156,2010-60-7626-19,,,Scaffold,4,150093,,33.0,91.0,32,30,98.78,0.45,v1.2.3,PRJNA226282,,gallus gallus | tissues,chicken,tissues,GCA_000637395.1,,Denmark,,Food Product (ENVO:00002002); Chicken broiler meat,,,,,,,
2434,GCA_000637455.1,Staphylococcus aureus 2011-60-2256-5,gallus gallus,tissues,,,,2652,,allpaths v. R48559,SAMN02391157,2011-60-2256-5,,,Scaffold,6,165294,,33.0,93.0,41,36,98.78,0.45,v1.2.3,PRJNA226283,,gallus gallus | tissues,chicken,tissues,GCA_000637455.1,,Denmark,,Food Product (ENVO:00002002); Chicken broiler meat,,Chicken,,Avian,,"Chicken, Gallus gallus",Gallus gallus
2435,GCA_000637495.1,Staphylococcus aureus 22825,bos taurus,bodily fluid,,,,2598,,allpaths v. R48559,SAMN02391161,22825,,,Scaffold,6,150042,,33.0,91.0,37,35,98.64,0.45,v1.2.3,PRJNA226287,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637495.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2436,GCA_000637515.1,Staphylococcus aureus 22835,bos taurus,bodily fluid,,,,2591,,allpaths v. R48559,SAMN02391163,22835,,,Scaffold,6,186015,,33.0,91.0,37,33,98.64,0.85,v1.2.3,PRJNA226289,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637515.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2437,GCA_000637535.1,Staphylococcus aureus 22837,bos taurus,bodily fluid,,,,2600,,allpaths v. R48559,SAMN02391164,22837,,,Scaffold,5,137793,,33.0,84.0,38,37,98.64,0.45,v1.2.3,PRJNA226290,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637535.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2438,GCA_000637555.1,Staphylococcus aureus 22838,bos taurus,bodily fluid,,,,2598,,allpaths v. R48559,SAMN02391165,22838,,,Scaffold,6,152418,,33.0,84.0,38,33,98.64,0.45,v1.2.3,PRJNA226291,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637555.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2439,GCA_000637575.1,Staphylococcus aureus 22841,bos taurus,bodily fluid,,,,2582,,allpaths v. R48559,SAMN02391166,22841,,,Scaffold,4,149804,,33.0,86.0,31,27,98.64,0.45,v1.2.3,PRJNA226292,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637575.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2440,GCA_000637595.1,Staphylococcus aureus 22843,bos taurus,bodily fluid,,,,2603,,allpaths v. R48559,SAMN02391167,22843,,,Scaffold,7,151678,,33.0,86.0,43,39,98.64,0.79,v1.2.3,PRJNA226293,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637595.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2441,GCA_000637615.1,Staphylococcus aureus 22846,bos taurus,bodily fluid,,,,2589,,allpaths v. R48559,SAMN02391168,22846,,,Scaffold,5,178030,,33.0,89.0,33,32,98.64,0.45,v1.2.3,PRJNA226294,,bos taurus | bodily fluid,cow,bodily fluid,GCA_000637615.1,,France,,Bodily fluid; Nose,,Cow,,Nonhuman Mammal,,Bos taurus,Bos taurus
2442,GCA_000637635.1,Staphylococcus aureus 22P79,sus scrofa,bodily fluid,,,,2628,,allpaths v. R48559,SAMN02391265,22P79,,,Scaffold,7,136452,,33.0,90.0,40,38,98.78,0.39,v1.2.3,PRJNA226391,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637635.1,,Netherlands,,Bodily fluid; Nose,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2443,GCA_000637655.1,Staphylococcus aureus 23237,canis lupus familiaris,bodily fluid,,,,2574,,allpaths v. R48559,SAMN02391169,23237,,,Scaffold,6,137848,,33.0,71.0,36,33,98.73,0.45,v1.2.3,PRJNA226295,,canis lupus familiaris | bodily fluid,dog,bodily fluid,GCA_000637655.1,,France,,Bodily fluid; Skin,,Dog,,Nonhuman Mammal,,"Dog, Canis lupus familiaris",Canis lupus familiaris
2444,GCA_000637675.1,Staphylococcus aureus 2393-15,sus scrofa,bodily fluid,,,,2656,,allpaths v. R48559,SAMN02391241,2393-15,,,Scaffold,6,164135,,33.0,86.0,39,36,98.77,1.06,v1.2.3,PRJNA226367,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637675.1,,Italy,,Bodily fluid; Nose,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2445,GCA_000637695.1,Staphylococcus aureus 2393-19,sus scrofa,bodily fluid,,,,2639,,allpaths v. R48559,SAMN02391242,2393-19,,,Scaffold,4,215005,,33.0,90.0,36,33,98.77,0.61,v1.2.3,PRJNA226368,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637695.1,,Italy,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2446,GCA_000637715.1,Staphylococcus aureus 25(2889),homo sapiens,bodily fluid,,,,2698,,allpaths v. R48559,SAMN02391372,25(2889),,,Scaffold,7,137848,,33.0,91.0,37,35,97.77,0.39,v1.2.3,PRJNA226500,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000637715.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2447,GCA_000637735.1,Staphylococcus aureus 27999-3,sus scrofa,bodily fluid,,,,2580,,allpaths v. R48559,SAMN02391233,27999-3,,,Scaffold,4,185735,,33.0,92.0,41,37,98.78,0.45,v1.2.3,PRJNA226359,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637735.1,,Italy,,Bodily fluid; Skin,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2448,GCA_000637775.1,Staphylococcus aureus 36P1,sus scrofa,bodily fluid,,,,2594,,allpaths v. R48559,SAMN02391416,36P1,,,Scaffold,5,180185,,33.0,98.0,33,32,98.75,0.39,v1.2.3,PRJNA226544,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637775.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2449,GCA_000637795.1,Staphylococcus aureus 36P5,sus scrofa,bodily fluid,,,,2598,,allpaths v. R48559,SAMN02391417,36P5,,,Scaffold,4,234095,,33.0,99.0,32,28,98.75,0.39,v1.2.3,PRJNA226545,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637795.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2450,GCA_000637835.1,Staphylococcus aureus 40P10,sus scrofa,bodily fluid,,,,2633,,allpaths v. R48559,SAMN02391419,40P10,,,Scaffold,5,188841,,33.0,90.0,37,36,98.42,1.39,v1.2.3,PRJNA226547,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637835.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2451,GCA_000637855.1,Staphylococcus aureus 40P5 1_1,sus scrofa,bodily fluid,,,,2638,,allpaths v. R48559,SAMN02391418,40P5 1_1,,,Scaffold,7,137848,,33.0,93.0,49,46,98.34,0.39,v1.2.3,PRJNA226546,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637855.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2452,GCA_000637875.1,Staphylococcus aureus 43P3,sus scrofa,bodily fluid,,,,2573,,allpaths v. R48559,SAMN02391420,43P3,,,Scaffold,3,430511,,33.0,90.0,23,21,98.69,0.39,v1.2.3,PRJNA226548,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637875.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2453,GCA_000637895.1,Staphylococcus aureus 43P8,sus scrofa,bodily fluid,,,,2586,,allpaths v. R48559,SAMN02391421,43P8,,,Scaffold,4,218190,,33.0,94.0,30,25,98.11,0.39,v1.2.3,PRJNA226549,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637895.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
2454,GCA_000637915.1,Staphylococcus aureus 44(2608),homo sapiens,bodily fluid,,,,2727,,allpaths v. R48559,SAMN02391373,44(2608),,,Scaffold,5,151692,,33.0,89.0,49,45,98.5,0.42,v1.2.3,PRJNA226501,,homo sapiens | bodily fluid,human,bodily fluid,GCA_000637915.1,,Netherlands,,Bodily fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2455,GCA_000637935.1,Staphylococcus aureus 47P5,sus scrofa,bodily fluid,,,,2638,,allpaths v. R48559,SAMN02391422,47P5,,,Scaffold,6,162875,,33.0,94.0,39,38,98.46,0.4,v1.2.3,PRJNA226550,,sus scrofa | bodily fluid,pig,bodily fluid,GCA_000637935.1,,Netherlands,,Bodily fluid,,Pig,,Nonhuman Mammal,,"Pig, Sus scrofa",Sus scrofa
