Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCA_025505935.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2770	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03325955	chock57	NA	NA	Scaffold	1	1632013	NA	32.5	318	5	3	98.54	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025505955.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2894	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03325966	seps71	NA	NA	Scaffold	5	176715	NA	33	145	30	4	97.76	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025505965.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03325965	seps49	NA	NA	Scaffold	2	734948	NA	33	132	8	4	98.43	0.62	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025505975.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2790	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03325967	seps75	NA	NA	Scaffold	1	1661077	NA	32.5	337	6	2	98.83	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025505995.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2724	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03325968	seps88	NA	NA	Scaffold	1	1552095	NA	33	238	3	2	98.68	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025506055.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2789	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03326158	por10	NA	NA	Scaffold	2	591593	NA	32.5	140	7	2	98.83	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506075.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2869	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03326270	por11	NA	NA	Scaffold	2	1063813	NA	32.5	243	5	2	98.76	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506085.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2744	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03326259	por8	NA	NA	Scaffold	1	2100403	NA	33	124	4	3	97.79	0.62	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506115.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2706	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03326160	por4	NA	NA	Scaffold	1	1375495	NA	33	207	7	2	97.49	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506135.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2747	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03333288	por15	NA	NA	Scaffold	1	2197243	NA	33	160	3	2	98.83	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506155.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2881	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03329645	por1	NA	NA	Scaffold	3	381505	NA	32.5	139	11	3	97.76	0.39	v1.2.4	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506175.1	Staphylococcus aureus	homo sapiens	nasal carriage	NA	NA	NA	2785	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03333289	por19	NA	NA	Scaffold	3	405324	NA	32.5	145	16	3	98.78	0.39	v1.2.3	PRJNA273632	NA	homo sapiens | nasal carriage	human
GCA_025506195.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2890	Best-placed reference protein set; GeneMarkS+	SPAdes v. 3.0.0	SAMN03333290	seps59	NA	NA	Scaffold	1	1654129	NA	32.5	220	10	2	96.85	0.68	v1.2.3	PRJNA273632	NA	homo sapiens | blood	human
GCA_025558945.1	Staphylococcus aureus	camel	ear swab	NA	NA	NA	2774	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923349	IVB6252	NA	NA	Complete Genome	1	2785956	NA	33	400	2	2	97.85	1.7	v1.2.4	PRJNA819273	NA	camel | ear swab	camel
GCA_025558965.1	Staphylococcus aureus	camel	ear swab	NA	NA	NA	2856	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923348	IVB6250	NA	NA	Complete Genome	1	2838188	NA	33	477	2	2	98.43	1.45	v1.2.4	PRJNA819273	NA	camel | ear swab	camel
GCA_025559005.1	Staphylococcus aureus	camel	ear swab	NA	NA	NA	2880	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923347	IVB6249	NA	NA	Complete Genome	1	2851921	NA	33	702	3	3	98.43	1.45	v1.2.4	PRJNA819273	NA	camel | ear swab	camel
GCA_025559045.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2779	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923346	IVB6248	NA	NA	Complete Genome	1	2786100	NA	33	365	2	2	97.85	1.7	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559085.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2840	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923345	IVB6243	NA	NA	Complete Genome	1	2813486	NA	33	690	3	3	98.65	1.45	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559125.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2840	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923344	IVB6242	NA	NA	Complete Genome	1	2813489	NA	33	544	3	3	98.65	1.45	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559225.1	Staphylococcus aureus	camel	pus swab	NA	NA	NA	2688	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923342	IVB6232	NA	NA	Complete Genome	1	2719250	NA	33	696	3	3	98.28	1.7	v1.2.4	PRJNA819273	NA	camel | pus swab	camel
GCA_025559265.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2804	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923341	IVB6221	NA	NA	Complete Genome	1	2809177	NA	33	498	2	2	97.56	1.7	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559325.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2950	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923340	IVB6215	NA	NA	Complete Genome	1	2904299	NA	33	966	3	3	98.43	1.45	v1.2.3	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559405.1	Staphylococcus aureus	cattle	milk	NA	NA	NA	2770	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923339	IVB6202	NA	NA	Complete Genome	1	2757383	NA	33	964	2	2	96.8	0.7	v1.2.4	PRJNA819273	NA	cattle | milk	cow
GCA_025559465.1	Staphylococcus aureus	cattle	milk	NA	NA	NA	2790	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923338	IVB6201	NA	NA	Complete Genome	1	2800218	NA	33	966	2	2	98.21	1.03	v1.2.4	PRJNA819273	NA	cattle | milk	cow
GCA_025559525.1	Staphylococcus aureus	camel	milk	NA	NA	NA	2799	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923337	IVB6196	NA	NA	Complete Genome	1	2808124	NA	33	633	1	1	98.52	0.54	v1.2.4	PRJNA819273	NA	camel | milk	camel
GCA_025559565.1	Staphylococcus aureus	camel	milk	NA	NA	NA	2817	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923336	IVB6195	NA	NA	Complete Genome	1	2809587	NA	33	584	2	2	97.91	1.99	v1.2.3	PRJNA819273	NA	camel | milk	camel
GCA_025559585.1	Staphylococcus aureus	cattle	milk	NA	NA	NA	2775	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923335	IVB6191	NA	NA	Complete Genome	1	2783822	NA	33	671	3	3	98.31	0.73	v1.2.3	PRJNA819273	NA	cattle | milk	cow
GCA_025559605.1	Staphylococcus aureus	camel	swab	NA	NA	NA	2868	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923334	IVB6185	NA	NA	Complete Genome	1	2861704	NA	33	429	2	2	97.9	1.45	v1.2.4	PRJNA819273	NA	camel | swab	camel
GCA_025559625.1	Staphylococcus aureus	camel	NA	NA	NA	NA	2775	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923333	IVB6173	NA	NA	Complete Genome	1	2785549	NA	33	612	2	2	98.54	1.7	v1.2.4	PRJNA819273	NA	camel	camel
GCA_025559645.1	Staphylococcus aureus	cattle	milk	NA	NA	NA	2767	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923332	IVB6172	NA	NA	Complete Genome	1	2777142	NA	33	675	1	1	98.24	1.03	v1.2.4	PRJNA819273	NA	cattle | milk	cow
GCA_025559685.1	Staphylococcus aureus	camel	pus swab	NA	NA	NA	2953	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923329	IVB6169	NA	NA	Complete Genome	1	2917187	NA	33	625	2	2	97.16	1.16	v1.2.3	PRJNA819273	NA	camel | pus swab	camel
GCA_025559705.1	Staphylococcus aureus	camel	NA	NA	NA	NA	2760	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923328	IVB6168	NA	NA	Complete Genome	1	2764529	NA	33	403	2	2	97.78	1.72	v1.2.4	PRJNA819273	NA	camel	camel
GCA_025559725.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2956	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923327	IVB6167	NA	NA	Complete Genome	1	2917188	NA	33	272	2	2	97.16	1.16	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559745.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2956	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923326	IVB6166	NA	NA	Complete Genome	1	2917190	NA	33	780	2	2	97.16	1.16	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025559765.1	Staphylococcus aureus	camel	milk	NA	NA	NA	2778	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923325	IVB6165	NA	NA	Complete Genome	1	2785555	NA	33	557	2	2	98.54	1.7	v1.2.3	PRJNA819273	NA	camel | milk	camel
GCA_025559785.1	Staphylococcus aureus	camel	skin swab	NA	NA	NA	2723	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923324	IVB6164	NA	NA	Complete Genome	1	2746361	NA	33	590	2	2	98.68	1.7	v1.2.3	PRJNA819273	NA	camel | skin swab	camel
GCA_025559805.1	Staphylococcus aureus	camel	NA	NA	NA	NA	2807	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923323	IVB6163	NA	NA	Complete Genome	1	2791520	NA	33	834	2	2	98.69	1.45	v1.2.4	PRJNA819273	NA	camel	camel
GCA_025560785.1	Staphylococcus aureus	camel	pooled milk	NA	NA	NA	2784	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923322	IVB6159	NA	NA	Complete Genome	1	2812044	NA	33	676	1	1	98.14	0.78	v1.2.3	PRJNA819273	NA	camel | pooled milk	camel
GCA_025560805.1	Staphylococcus aureus	camel	skin swab	NA	NA	NA	2785	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923321	IVB6158	NA	NA	Complete Genome	1	2812046	NA	33	893	1	1	98.14	0.78	v1.2.3	PRJNA819273	NA	camel | skin swab	camel
GCA_025560825.1	Staphylococcus aureus	camel	nasal swab	NA	NA	NA	2897	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923318	IVB6155	NA	NA	Complete Genome	1	2857636	NA	33	912	2	2	97.9	1.45	v1.2.4	PRJNA819273	NA	camel | nasal swab	camel
GCA_025561605.1	Staphylococcus aureus	camel	NA	NA	NA	NA	2875	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923320	IVB6157	NA	NA	Complete Genome	1	2843350	NA	33	286	4	4	98.43	1.16	v1.2.3	PRJNA819273	NA	camel	camel
GCA_025561625.1	Staphylococcus aureus	camel	NA	NA	NA	NA	2931	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.6	SAMN26923319	IVB6156	NA	NA	Complete Genome	1	2853773	NA	33	670	3	3	97.86	1.7	v1.2.4	PRJNA819273	NA	camel	camel
GCA_025643635.1	Staphylococcus aureus	NA	dairy farm	NA	NA	NA	2630	NA	HGAP v. 3.0	SAMN10147904	JDFM SA01	NA	NA	Complete Genome	1	2748925	NA	33	407	2	2	98.43	0.39	v1.2.3	PRJNA491802	NA	dairy farm	NA
GCA_025813695.1	Staphylococcus aureus	NA	secretion	NA	NA	NA	3125	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN26665713	N17CSA11	NA	NA	Chromosome	1	2982751	NA	33	100	4	4	98.39	0.39	v1.2.3	PRJNA816280	NA	secretion	NA
GCA_026167705.1	Staphylococcus aureus	NA	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2738	Best-placed reference protein set; GeneMarkS-2+	Mapped to reference using Geneious v. 2022.2.1	SAMN30679626	DSM 20231-Res3	NA	NA	Chromosome	3	372587	NA	33	242	9	1	98.61	0.39	v1.2.3	PRJNA877072	NA	keywords: gsc:mixs;migs:6.0	NA
GCA_026167725.1	Staphylococcus aureus	NA	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2734	Best-placed reference protein set; GeneMarkS-2+	Mapped to reference using Geneious v. 2022.2.1	SAMN30679625	DSM 20231-Res2	NA	NA	Complete Genome	1	2755075	NA	33	236	1	1	98.61	0.39	v1.2.3	PRJNA877072	NA	keywords: gsc:mixs;migs:6.0	NA
GCA_026167745.1	Staphylococcus aureus	NA	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2737	Best-placed reference protein set; GeneMarkS-2+	Mapped to reference using Geneious v. 2022.2.1	SAMN30679550	DSM 20231-Res1	NA	NA	Chromosome	2	335797	NA	33	284	8	1	98.61	0.39	v1.2.3	PRJNA877072	NA	keywords: gsc:mixs;migs:6.0	NA
GCA_026167765.1	Staphylococcus aureus	NA	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2734	Best-placed reference protein set; GeneMarkS-2+	Mapped to reference using Geneious v. 2022.2.1	SAMN30679549	DSM 20231	NA	NA	Complete Genome	1	2755077	NA	33	247	1	1	98.61	0.39	v1.2.3	PRJNA877072	NA	keywords: gsc:mixs;migs:6.0	NA
GCA_026546985.1	Staphylococcus aureus	environment	pig farm dust	NA	NA	NA	2791	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760544	RIVM_M085090	NA	NA	Complete Genome	1	2796375	NA	33	30	4	4	98.88	0.46	v1.2.3	PRJNA831673	NA	environment | pig farm dust	environment
GCA_026547005.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2807	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760543	RIVM_M087195	NA	NA	Complete Genome	1	2817149	NA	33	30	2	2	98.64	0.39	v1.2.3	PRJNA831673	NA	homo sapiens | nose	human
GCA_026547035.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2793	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760542	RIVM_M084986	NA	NA	Complete Genome	1	2795636	NA	33	30	2	2	98.69	0.41	v1.2.3	PRJNA831673	NA	homo sapiens | nose	human
GCA_026547055.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2942	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760541	RIVM_M084526	NA	NA	Complete Genome	1	2890216	NA	33	30	2	2	98.42	0.43	v1.2.3	PRJNA831673	NA	homo sapiens | nose	human
GCA_026547075.1	Staphylococcus aureus	homo sapiens	urinairy tract	NA	NA	NA	2939	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760540	RIVM_M083782	NA	NA	Complete Genome	1	2893482	NA	33	30	3	3	98.69	0.45	v1.2.3	PRJNA831673	NA	homo sapiens | urinairy tract	human
GCA_026547095.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2873	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760539	RIVM_M047916	NA	NA	Complete Genome	1	2844988	NA	33	30	4	4	98.64	0.46	v1.2.3	PRJNA831673	NA	homo sapiens | nose	human
GCA_026547145.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2766	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760538	RIVM_M047065	NA	NA	Complete Genome	1	2806671	NA	33	30	1	1	98.64	0.41	v1.2.3	PRJNA831673	NA	homo sapiens | nose	human
GCA_026547185.1	Staphylococcus aureus	homo sapiens	pus	NA	NA	NA	2965	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v.0.4.4	SAMN27760537	RIVM_M044329	NA	NA	Complete Genome	1	2933086	NA	33	30	2	2	98.9	1.22	v1.2.3	PRJNA831673	NA	homo sapiens | pus	human
GCA_026625925.1	Staphylococcus aureus	homo sapiens	breast	NA	staphylococcus aureus strain biai 117 isolated from breast implant associated infection	NA	2817	Best-placed reference protein set; GeneMarkS-2+	flye v. 2.9	SAMN31815270	BIAI 117	NA	NA	Complete Genome	1	2833462	NA	33	100	1	1	96.95	0.68	v1.2.3	PRJNA903851	NA	homo sapiens | breast | staphylococcus aureus strain biai 117 isolated from breast implant associated infection	human
GCA_026636215.1	Staphylococcus aureus	homo sapiens	breast	NA	staphylococcus aureus strain biai 158 isolated from breast implant associated infection	NA	2777	Best-placed reference protein set; GeneMarkS-2+	flye v. 2.9	SAMN31815319	BIAI 158	NA	NA	Complete Genome	1	2755118	NA	33	100	2	2	97.68	0.62	v1.2.3	PRJNA903852	NA	homo sapiens | breast | staphylococcus aureus strain biai 158 isolated from breast implant associated infection	human
GCA_027854375.1	Staphylococcus aureus	NA	cheese	NA	NA	NA	2654	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13	SAMN29359227	SAU66	NA	NA	Scaffold	7	160622	NA	32.5	435	35	32	98.26	0.43	v1.2.3	PRJNA853069	NA	cheese	food
GCA_027854385.1	Staphylococcus aureus	NA	laboratory after exposure to phage	NA	NA	NA	2643	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13	SAMN29359226	SAU39M	NA	NA	Scaffold	8	97007	NA	32.5	244	48	43	96.87	0.39	v1.2.3	PRJNA853069	NA	laboratory after exposure to phage	lab
GCA_027920385.1	Staphylococcus aureus	homo sapiens	patient sinus swab	NA	NA	NA	2822	Best-placed reference protein set; GeneMarkS-2+	Flye for Genome, plassembler (Unicycler) for plasmids v. 2.9.1 (Flye) with short read polishing, 0.1.1 (plassembler) with 0.5.0 (Unicycler)	SAMN32538168	C308	NA	NA	Complete Genome	1	2834886	NA	33	80	2	2	98.18	0.39	v1.2.3	PRJNA914892	NA	homo sapiens | patient sinus swab	human
GCA_027942255.1	Staphylococcus aureus	homo sapiens	bronchoalveolar lavage fluid	NA	NA	NA	2825	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN27752663	FJ0318	NA	NA	Complete Genome	1	2809462	NA	33	100	2	2	98.38	1.02	v1.2.3	PRJNA831318	NA	homo sapiens | bronchoalveolar lavage fluid	human
GCA_027942275.1	Staphylococcus aureus	homo sapiens	pus	NA	NA	NA	2789	Best-placed reference protein set; GeneMarkS-2+	unicycler v. 0.4.0	SAMN27752664	FJ0322	NA	NA	Complete Genome	1	2809462	NA	33	100	1	1	98.38	0.43	v1.2.3	PRJNA831318	NA	homo sapiens | pus	human
GCA_027943905.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2726	NA	HGAP v. 3	SAMD00260231	JP008	NA	NA	Complete Genome	1	2801090	NA	33	100	1	1	98.07	0.67	v1.2.3	PRJDB10779	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCA_027943925.1	Staphylococcus aureus	homo sapiens	NA	NA	keywords: gsc:mixs;migs:6.0	NA	2690	NA	HGAP v. 3	SAMD00260312	JP089	NA	NA	Complete Genome	1	2802260	NA	33	100	1	1	98.8	0.62	v1.2.3	PRJDB10779	NA	homo sapiens | keywords: gsc:mixs;migs:6.0	human
GCA_028596045.1	Staphylococcus aureus	homo sapiens	nose	NA	NA	NA	2866	Best-placed reference protein set; GeneMarkS-2+	Trycycler v. v0.5.3	SAMN32885235	2022QW-00133	NA	NA	Complete Genome	1	2780286	NA	33	153	3	3	97.93	0.39	v1.2.3	PRJNA288601	NA	homo sapiens | nose	human
GCA_028728175.1	Staphylococcus aureus	fish	NA	NA	NA	NA	2831	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. NOVEMBER-2019; SPAdes v. NOVEMBER-2019; ABySS v. NOVEMBER-2019	SAMN33210786	CHPC 1.8395	NA	NA	Scaffold	3	498612	NA	32.5	290	12	11	98.72	0.39	v1.2.3	PRJNA932764	NA	fish	fish
GCA_028803405.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2845	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531396	DC900107	NA	NA	Scaffold	3	319499	NA	32.5	100	33	31	98.45	1.09	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028803495.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2784	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531395	DC900088	NA	NA	Scaffold	3	397580	NA	32.5	100	16	14	98.63	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803575.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2809	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531393	DC900086	NA	NA	Scaffold	2	604681	NA	32.5	100	13	12	98.44	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803635.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2788	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531390	DC900048	NA	NA	Scaffold	5	284798	NA	32.5	100	27	26	98.44	1.02	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028803645.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2796	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531391	DC900078	NA	NA	Scaffold	2	604498	NA	32.5	100	12	11	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803655.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2796	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531392	DC900082	NA	NA	Scaffold	3	397532	NA	32.5	100	19	18	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803695.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2797	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531389	DC900044	NA	NA	Scaffold	2	603362	NA	32.5	100	14	13	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803755.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2803	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531388	DC900039	NA	NA	Scaffold	2	355740	NA	32.5	100	15	13	98.44	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803835.1	Staphylococcus aureus	NA	rice flour product	NA	NA	NA	2736	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531386	DC900027	NA	NA	Scaffold	4	283577	NA	32.5	100	20	19	98.38	0.43	v1.2.3	PRJNA917243	NA	rice flour product	food
GCA_028803845.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2799	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531387	DC900031	NA	NA	Scaffold	4	319020	NA	32.5	100	22	20	98.24	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803875.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2797	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531385	DC900021	NA	NA	Scaffold	5	236960	NA	32.5	100	24	22	97.73	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803885.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2723	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531384	DC900018	NA	NA	Scaffold	3	319523	NA	32.5	100	13	12	98.63	0.43	v1.2.3	PRJNA917243	NA	meat	food
GCA_028803975.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2874	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531381	DC53364	NA	NA	Scaffold	4	292806	NA	32.5	100	22	20	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804035.1	Staphylococcus aureus	NA	baked product:food poisoning	NA	NA	NA	2798	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531380	DC53362	NA	NA	Scaffold	3	319511	NA	32.5	100	21	19	98.24	0.99	v1.2.3	PRJNA917243	NA	baked product:food poisoning	food
GCA_028804125.1	Staphylococcus aureus	NA	baked product:food poisoning	NA	NA	NA	2800	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531378	DC53349	NA	NA	Scaffold	3	319512	NA	32.5	100	24	22	98.24	0.99	v1.2.3	PRJNA917243	NA	baked product:food poisoning	food
GCA_028804175.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2666	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531375	DC53323	NA	NA	Scaffold	4	302177	NA	32.5	100	23	21	98.32	1.02	v1.2.3	PRJNA917243	NA	meat	food
GCA_028804195.1	Staphylococcus aureus	NA	soy product	NA	NA	NA	2863	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531379	DC53350	NA	NA	Scaffold	4	319661	NA	32.5	100	32	31	98.24	1.02	v1.2.3	PRJNA917243	NA	soy product	food
GCA_028804235.1	Staphylococcus aureus	NA	meat	NA	NA	NA	2885	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.0	SAMN32531374	DC53319	NA	NA	Scaffold	4	292806	NA	33	100	24	22	98.32	1.04	v1.2.3	PRJNA917243	NA	meat	food
