Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCA_030488665.1	Staphylococcus aureus	pig	nasal swab				2859	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029812	1021124			Scaffold	8	126613		33	500	184	175	98.43	0.96	v1.2.2	PRJNA884517	
GCA_030488685.1	Staphylococcus aureus	pig	nasal swab				2782	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029821	1127161			Scaffold	11	100206		33	500	210	193	98.19	0.42	v1.2.2	PRJNA884517	
GCA_030488695.1	Staphylococcus aureus	pig	pork				2749	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029814	1127033			Scaffold	10	100208		33	500	180	165	98.19	0.39	v1.2.2	PRJNA884517	
GCA_030488725.1	Staphylococcus aureus	pig	nasal swab				2971	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029809	1021065			Scaffold	11	94842		33	500	330	315	98.63	2.63	v1.2.2	PRJNA884517	
GCA_030488745.1	Staphylococcus aureus	pig	nasal swab				2951	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029795	0920072			Scaffold	8	134986		33.5	500	437	429	97.29	0.89	v1.2.2	PRJNA884517	
GCA_030488765.1	Staphylococcus aureus	pig	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029811	1021113			Scaffold	7	134986		33	500	265	257	97.29	1.11	v1.2.2	PRJNA884517	
GCA_030488785.1	Staphylococcus aureus	pig	nasal swab				2600	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029802	0920161			Scaffold	17	53491		33	500	168	141	97.18	0.39	v1.2.2	PRJNA884517	
GCA_030488805.1	Staphylococcus aureus	pig	carcass swab				2951	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029806	0920260			Scaffold	9	124533		33	500	334	327	97.29	2.12	v1.2.2	PRJNA884517	
GCA_030488815.1	Staphylococcus aureus	pig	nasal swab				2915	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029810	1021089			Scaffold	5	173775		33	500	223	212	98.63	0.92	v1.2.2	PRJNA884517	
GCA_030488845.1	Staphylococcus aureus	pig	carcass swab				2859	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029803	0920220			Scaffold	8	150114		33	500	264	258	97.29	0.87	v1.2.2	PRJNA884517	
GCA_030488865.1	Staphylococcus aureus	pig	nasal swab				2884	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029783	0815284			Scaffold	4	313153		33	500	224	220	98.81	0.94	v1.2.2	PRJNA884517	
GCA_030488875.1	Staphylococcus aureus	pig	carcass swab				2826	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029805	0920254			Scaffold	5	231471		33	500	168	157	98.3	1.33	v1.2.2	PRJNA884517	
GCA_030488895.1	Staphylococcus aureus	pig	nasal swab				2903	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029801	0920157			Scaffold	4	224995		33	500	163	157	98.69	0.66	v1.2.2	PRJNA884517	
GCA_030488925.1	Staphylococcus aureus	pig	carcass swab				2813	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029790	0815639			Scaffold	4	313153		32.5	500	136	132	98.81	0.54	v1.2.2	PRJNA884517	
GCA_030488935.1	Staphylococcus aureus	pig	nasal swab				3144	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029796	0920083			Scaffold	9	121892		33.5	500	479	471	97.18	1.76	v1.2.2	PRJNA884517	
GCA_030488965.1	Staphylococcus aureus	pig	carcass swab				2929	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029804	0920226			Scaffold	8	150114		33	500	349	342	97.27	1.31	v1.2.2	PRJNA884517	
GCA_030488985.1	Staphylococcus aureus	pig	nasal swab				2871	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029800	0920150			Scaffold	8	150114		33	500	261	254	97.36	0.83	v1.2.2	PRJNA884517	
GCA_030489005.1	Staphylococcus aureus	pig	carcass swab				2855	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029791	0815662			Scaffold	4	313153		33	500	190	186	98.81	0.82	v1.2.2	PRJNA884517	
GCA_030489025.1	Staphylococcus aureus	pig	nasal swab				2942	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029799	0920126			Scaffold	9	135211		33	500	329	322	97.29	1.45	v1.2.2	PRJNA884517	
GCA_030489035.1	Staphylococcus aureus	pig	carcass swab				2722	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029789	0815560			Scaffold	7	116255		32.5	500	100	96	98.81	0.39	v1.2.2	PRJNA884517	
GCA_030489065.1	Staphylococcus aureus	pig	nasal swab				3983	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029798	0920117			Scaffold	10	83187		33	500	1529	1516	88.07	10.63	v1.2.2	PRJNA884517	
GCA_030489075.1	Staphylococcus aureus	pig	nasal swab				2998	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029797	0920110			Scaffold	8	150114		33	500	395	387	97.29	1.42	v1.2.2	PRJNA884517	
GCA_030489105.1	Staphylococcus aureus	pig	nasal swab				2797	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029794	0920064			Scaffold	19	47454		33	500	294	267	97.29	1.45	v1.2.2	PRJNA884517	
GCA_030489125.1	Staphylococcus aureus	pig	pork				2964	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029793	0920050			Scaffold	3	439139		33	500	159	156	98.79	0.4	v1.2.2	PRJNA884517	
GCA_030489145.1	Staphylococcus aureus	pig	carcass swab				3023	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029792	0815683			Scaffold	3	332134		33	500	378	375	98.76	1.91	v1.2.2	PRJNA884517	
GCA_030489165.1	Staphylococcus aureus	pig	nasal swab				2742	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029784	0815291			Scaffold	7	116256		32.5	500	121	113	98.81	0.43	v1.2.2	PRJNA884517	
GCA_030489175.1	Staphylococcus aureus	pig	nasal swab				2838	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029782	0815250			Scaffold	7	116256		33	500	219	211	98.81	0.58	v1.2.2	PRJNA884517	
GCA_030489195.1	Staphylococcus aureus	pig	carcass swab				2778	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029770	0705693			Scaffold	4	251231		33	500	253	250	98.5	0.51	v1.2.2	PRJNA884517	
GCA_030489225.1	Staphylococcus aureus	pig	knife swab				2869	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029777	0705806			Scaffold	4	262263		33	500	230	226	98.57	1.38	v1.2.2	PRJNA884517	
GCA_030489245.1	Staphylococcus aureus	pig	knife swab				2931	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029778	0705809			Scaffold	5	173190		33	500	204	193	98.31	1.14	v1.2.2	PRJNA884517	
GCA_030489265.1	Staphylococcus aureus	pig	nasal swab				2780	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029785	0815303			Scaffold	7	116254		32.5	500	164	156	98.81	0.52	v1.2.2	PRJNA884517	
GCA_030489285.1	Staphylococcus aureus	pig	carcass swab				2674	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029787	0815548			Scaffold	7	116256		32.5	500	124	116	98.81	0.39	v1.2.2	PRJNA884517	
GCA_030489295.1	Staphylococcus aureus	pig	nasal swab				2747	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029786	0815341			Scaffold	7	116246		32.5	500	129	122	98.81	0.41	v1.2.2	PRJNA884517	
GCA_030489325.1	Staphylococcus aureus	pig	carcass swab				2748	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029788	0815551			Scaffold	7	116254		32.5	500	125	118	98.76	0.39	v1.2.2	PRJNA884517	
GCA_030489345.1	Staphylococcus aureus	pig	knife swab				2878	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029776	0705790			Scaffold	3	286909		33	500	214	211	98.57	0.75	v1.2.2	PRJNA884517	
GCA_030489365.1	Staphylococcus aureus	pig	nasal swab				2919	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029781	0815217			Scaffold	4	313153		33	500	254	249	98.81	1.49	v1.2.2	PRJNA884517	
GCA_030489385.1	Staphylococcus aureus	pig	carcass swab				2903	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029769	0705685			Scaffold	3	287265		33	500	259	257	98.57	0.9	v1.2.2	PRJNA884517	
GCA_030489405.1	Staphylococcus aureus	pig	nasal swab				3195	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029749	0705343			Scaffold	5	155048		33	500	538	531	98.29	1.66	v1.2.2	PRJNA884517	
GCA_030489415.1	Staphylococcus aureus	pig	nasal swab				2896	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029780	0815178			Scaffold	4	313153		33	500	232	228	98.87	0.66	v1.2.2	PRJNA884517	
GCA_030489445.1	Staphylococcus aureus	pig	carcass swab				2880	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029764	0705555			Scaffold	3	286909		33	500	195	192	98.57	0.58	v1.2.2	PRJNA884517	
GCA_030489455.1	Staphylococcus aureus	pig	carcass swab				2847	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029771	0705702			Scaffold	5	192521		33	500	302	297	98.5	1.4	v1.2.2	PRJNA884517	
GCA_030489485.1	Staphylococcus aureus	pig	pork				2846	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029779	0815007			Scaffold	4	313153		33	500	178	174	98.96	0.92	v1.2.2	PRJNA884517	
GCA_030489495.1	Staphylococcus aureus	pig	carcass swab				2745	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029774	0705758			Scaffold	5	192521		33	500	184	180	98.41	1.06	v1.2.2	PRJNA884517	
GCA_030489505.1	Staphylococcus aureus	pig	knife swab				2835	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029775	0705787			Scaffold	4	262263		33	500	186	182	98.57	0.48	v1.2.2	PRJNA884517	
GCA_030489515.1	Staphylococcus aureus	pig	carcass swab				3120	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029773	0705738			Scaffold	4	319158		33	500	415	402	98.31	0.97	v1.2.2	PRJNA884517	
GCA_030512095.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B-0225, R-1435		2803	Best-placed reference protein set; GeneMarkS-2+	SKESA v. JUL-2020	SAMN36438506	SBR096-1			Scaffold	2	741450		33	50	18	18	98.28	0.62	v1.2.4	PRJNA978117	
GCA_030544845.1	Staphylococcus aureus		laboratory reference strain				2643	Best-placed reference protein set; GeneMarkS-2+	BWA-MEM to reference genome CP000253 using PATRIC v. Dec-2021	SAMN28093337	JP1250			Complete Genome	1	2688968		33	76	1	1	98.47	0.39	v1.2.4	PRJNA835099	
GCA_030546525.1	Staphylococcus aureus	Homo sapiens	nasal carriage				2900	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4; Galaxy v. galaxy0	SAMN28177554	SA_7SR			Scaffold	4	203012		33	6	149	143	98.57	0.74	v1.2.3	PRJNA836883	
GCA_030551415.1	Staphylococcus aureus		Pig carcasses				2886	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679814	LNZ_R_SAU_10			Scaffold	5	271884		33	106.5	47	44	98.88	0.41	v1.2.4	PRJNA997456	
GCA_030551515.1	Staphylococcus aureus		Pig carcasses				2842	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679815	LNZ_R_SAU_21			Scaffold	7	132371		33	178.7	78	76	98.1	0.79	v1.2.4	PRJNA997456	
GCA_030551525.1	Staphylococcus aureus		Pig carcasses				2867	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679816	LNZ_R_SAU_22			Scaffold	5	214622		33	134.1	58	55	98.55	0.49	v1.2.4	PRJNA997456	
GCA_030551545.1	Staphylococcus aureus		Pig carcasses				2877	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679817	LNZ_R_SAU_23			Scaffold	5	223105		33	139.4	57	55	98.55	0.49	v1.2.4	PRJNA997456	
GCA_030551575.1	Staphylococcus aureus		Pig carcasses				2869	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679818	LNZ_R_SAU_24			Scaffold	5	238552		33	156.8	62	59	98.55	0.49	v1.2.4	PRJNA997456	
GCA_030551595.1	Staphylococcus aureus		Pig carcasses				2794	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679819	LNZ_R_SAU_25			Scaffold	3	352949		33	128.1	55	52	98.61	0.43	v1.2.4	PRJNA997456	
GCA_030551905.1	Staphylococcus aureus		Pig carcasses				2839	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679821	LNZ_R_SAU_27			Scaffold	9	114616		33	161.3	81	80	98.67	0.79	v1.2.4	PRJNA997456	
GCA_030551955.1	Staphylococcus aureus		Pig carcasses				2859	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679823	LNZ_R_SAU_37			Scaffold	4	350636		33	151.5	50	49	98.63	1	v1.2.4	PRJNA997456	
GCA_030551995.1	Staphylococcus aureus		Pig carcasses				2839	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679826	LNZ_R_SAU_58			Scaffold	3	393167		32.5	152.9	39	36	98.28	0.41	v1.2.4	PRJNA997456	
GCA_030552015.1	Staphylococcus aureus		Pig carcasses				2799	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679827	LNZ_R_SAU_62			Scaffold	3	379325		32.5	118.6	45	43	98.2	0.41	v1.2.4	PRJNA997456	
GCA_030552035.1	Staphylococcus aureus		Pig carcasses				2910	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679825	LNZ_R_SAU_57			Scaffold	6	210448		33	98.8	62	59	98.85	0.41	v1.2.4	PRJNA997456	
GCA_030552075.1	Staphylococcus aureus		Pig carcasses				2828	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679828	LNZ_R_SAU_64			Scaffold	5	174964		33	174.2	61	58	98.21	0.79	v1.2.4	PRJNA997456	
GCA_030552175.1	Staphylococcus aureus		Pig carcasses				2831	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679820	LNZ_R_SAU_26			Scaffold	8	130125		33	154.7	74	72	98.67	0.79	v1.2.4	PRJNA997456	
GCA_030552185.1	Staphylococcus aureus		Pig carcasses				2840	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679822	LNZ_R_SAU_31			Scaffold	5	263737		32.5	137.6	48	47	98.28	0.41	v1.2.4	PRJNA997456	
GCA_030552225.1	Staphylococcus aureus		Pig carcasses				2857	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.12	SAMN36679824	LNZ_R_SAU_46			Scaffold	5	182523		33	107.1	63	61	98.56	1	v1.2.4	PRJNA997456	
GCA_030646475.1	Staphylococcus aureus	pork	wholesale market				2931	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN30733139	16PC97			Scaffold	3	284136		33	0.95	66	59	98.81	0.39	v1.2.3	PRJNA877937	
GCA_030646525.1	Staphylococcus aureus	pork	wholesale market				2864	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN30733111	17PX_2_179			Scaffold	6	170249		33	0.95	49	33	98.4	1.02	v1.2.4	PRJNA877937	
GCA_030649535.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0609, R08267. Other isolates from this patient: BSN49-1, BSN49-2, BSN49-4, BSN49-5, BSN49-6.		2929	Best-placed reference protein set; GeneMarkS-2+	SKESA v. FEB-2021	SAMN36733048	BSN49-3			Scaffold	4	210940		32.5	95	50	50	97.77	0.58	v1.2.4	PRJNA978117	
GCA_030649545.1	Staphylococcus aureus	Homo sapiens	wound		aliases: B0612, R08490. Other isolates from this patient: BSN49-1, BSN49-2, BSN49-3, BSN49-4, BSN49-5.		2932	Best-placed reference protein set; GeneMarkS-2+	SKESA v. FEB-2021	SAMN36733051	BSN49-6			Scaffold	3	282703		32.5	95	44	44	97.77	0.58	v1.2.4	PRJNA978117	
GCA_030649555.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0608, R08201. Other isolates from this patient: BSN49-1, BSN49-3, BSN49-4, BSN49-5, BSN49-6.		2930	Best-placed reference protein set; GeneMarkS-2+	SKESA v. FEB-2021	SAMN36733047	BSN49-2			Scaffold	4	213269		32.5	95	47	47	97.77	0.58	v1.2.4	PRJNA978117	
GCA_030649615.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0607, R08002. Other isolates from this patient: BSN49-2, BSN49-3, BSN49-4, BSN49-5, BSN49-6.		2925	Best-placed reference protein set; GeneMarkS-2+	SKESA v. FEB-2021	SAMN36733046	BSN49			Scaffold	4	213269		32.5	95	49	49	97.77	0.58	v1.2.4	PRJNA978117	
GCA_030651555.1	Staphylococcus aureus	Homo sapiens	bone biopsy		aliases: B0610, R08313. Other isolates from this patient: BSN49-1, BSN49-2, BSN49-3, BSN49-5, BSN49-6.		2939	Best-placed reference protein set; GeneMarkS-2+	SKESA v. FEB-2021	SAMN36733049	BSN49-4			Scaffold	3	282703		32.5	95	44	44	97.77	0.58	v1.2.4	PRJNA978117	
GCA_030705445.1	Staphylococcus aureus	Homo sapiens	blood				2913	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4	SAMN36798141	B-DAP-SS			Scaffold	6	174721		32.5		33	27	97.13	0.42	v1.2.4	PRJNA1001284	
GCA_030705455.1	Staphylococcus aureus	Homo sapiens	blood				2840	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4	SAMN36798138	A-DAP-RS			Scaffold	5	203069		32.5		29	25	98.77	0.7	v1.2.4	PRJNA1001284	
GCA_030705485.1	Staphylococcus aureus	Homo sapiens	blood				2843	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4	SAMN36798139	A-DAP-SS			Scaffold	5	203013		32.5		31	28	98.77	0.7	v1.2.4	PRJNA1001284	
GCA_030705505.1	Staphylococcus aureus	Homo sapiens	blood				2912	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.4	SAMN36798140	B-DAP-RS			Scaffold	6	174715		32.5		32	26	97.13	0.42	v1.2.4	PRJNA1001284	
GCA_030758795.1	Staphylococcus aureus	Homo sapiens	unknown				2765	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911160	UNC_SA3			Complete Genome	1	2754694		33	100	2	2	98.08	0.39	v1.2.4	PRJNA749299	
GCA_030758815.1	Staphylococcus aureus	Homo sapiens	unknown				2874	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911166	UNC_SA56			Complete Genome	1	2863416		33	100	1	1	98.21	0.54	v1.2.4	PRJNA749299	
GCA_030758835.1	Staphylococcus aureus	Homo sapiens	unknown				2817	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911164	UNC_SA54			Complete Genome	1	2755141		32.5	100	3	3	98.16	0.39	v1.2.4	PRJNA749299	
GCA_030758855.1	Staphylococcus aureus	Homo sapiens	unknown				2898	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911165	UNC_SA55			Complete Genome	1	2853376		33	100	2	2	97.94	0.34	v1.2.4	PRJNA749299	
GCA_030758875.1	Staphylococcus aureus	Homo sapiens	sputum				2694	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911163	UNC_SA48			Complete Genome	1	2718855		33	100	1	1	98.04	0.39	v1.2.4	PRJNA749299	
GCA_030758895.1	Staphylococcus aureus	Homo sapiens	sputum				2794	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911161	UNC_SA38			Complete Genome	1	2777921		33	100	2	2	97.78	0.39	v1.2.4	PRJNA749299	
GCA_030758915.1	Staphylococcus aureus	Homo sapiens	sputum				2707	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9.1	SAMN36911162	UNC_SA44			Complete Genome	1	2740487		33	100	2	2	97.98	0.39	v1.2.4	PRJNA749299	
GCA_030910045.1	Staphylococcus aureus	cat					2617	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. v.3.13.1	SAMN37107280	NNSa2473			Scaffold	89	8214		33	20	517	480	94.79	0.7	v1.2.3	PRJNA1007963	
GCA_030931375.1	Staphylococcus aureus		Raw sheep milk				2763	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057132	DRD-6			Chromosome	5	177505		33	197	35	1	98.84	0.39	v1.2.4	PRJNA1007360	
GCA_030970765.1	Staphylococcus aureus		Raw sheep milk				2816	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057131	DRD-5			Scaffold	5	199651		32.5	331	52	3	98.43	2.37	v1.2.4	PRJNA1007360	
GCA_030971105.1	Staphylococcus aureus		Raw sheep milk				2757	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057129	DRD-13			Scaffold	5	173970		33	210	40	2	98.87	0.39	v1.2.4	PRJNA1007360	
GCA_030971185.1	Staphylococcus aureus		Raw sheep milk				2768	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057130	DRD-20			Scaffold	5	177507		33	264	32	2	98.45	0.39	v1.2.4	PRJNA1007360	
GCA_030971225.1	Staphylococcus aureus		Raw sheep milk				2771	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057133	DRD-7			Scaffold	3	416440		33	492	34	3	98.84	0.39	v1.2.4	PRJNA1007360	
GCA_030971305.1	Staphylococcus aureus		Raw sheep milk				3061	Best-placed reference protein set; GeneMarkS-2+	Unicycler / BV-BRC (de novo assembly), MeDuSa (scaffolding) v. 3.30.19a, 1.6	SAMN37057134	DRD-8			Scaffold	48	15341		33	311	333	3	96.79	6.68	v1.2.4	PRJNA1007360	
GCA_030971785.1	Staphylococcus aureus	Homo sapiens					2511	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN37140500	NNSa2569			Scaffold	169	3724		33.5	20	818	804				PRJNA1008897	
GCA_031119695.1	Staphylococcus aureus	pig	carcass swab				2838	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN31029851	1902488			Scaffold	8	127890		33	500	83	74				PRJNA884517	
GCA_031190615.1	Staphylococcus aureus	Homo sapiens	spinal fluid				2945	Best-placed reference protein set; GeneMarkS-2+	trycycler v. 0.5.4; flye v. 2.9.2-b1786; canu v. 2.2; reven v. 1.8.1; medaka v. 1.7.3; polypolish v. 0.5.0; polca v. 4.1.0	SAMN37160977	SA191			Complete Genome	1	2921117		33	249	3	3	98.87	0.39	v1.2.4	PRJNA1009786	
GCA_031317555.1	Staphylococcus aureus	Homo sapiens	blood culture				2585	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Wokbench v. v 4.9	SAMN29492482	60250			Scaffold	81	9731		33	135	433	431	96.27	0.48	v1.2.4	PRJNA855451	
GCA_031317575.1	Staphylococcus aureus	Homo sapiens	blood culture				2674	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Wokbench v. v 4.9	SAMN29492076	13127			Scaffold	53	15847		33	172	262	259	92.75	0.82	v1.2.3	PRJNA855451	
GCA_031317635.1	Staphylococcus aureus	Homo sapiens	blood culture				2685	Best-placed reference protein set; GeneMarkS-2+	CLC Genomics Wokbench v. v 4.9	SAMN29492626	61252			Scaffold	153	5008		33.5	197	673	666	92.35	1.58	v1.2.3	PRJNA855451	
GCA_031326145.1	Staphylococcus aureus	Homo sapiens	missing				2930	Best-placed reference protein set; GeneMarkS-2+	Racon v. AUG-2023	SAMN37262252	JH4322			Complete Genome	1	2866072		33	32.64	3	3	98.62	0.39	v1.2.4	PRJNA1012534	
GCA_031462955.1	Staphylococcus aureus	dog					2608	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.13.1	SAMN37073691	NNSa2421			Scaffold	117	6115		33.5	20	631	615	93.77	0.72	v1.2.3	PRJNA1007584	
GCA_031571335.1	Staphylococcus aureus	Homo sapiens	not collected				2879	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473890	SA02830			Scaffold	7	128944		33	100	84	81	98.12	1	v1.2.4	PRJNA278295	
GCA_031571365.1	Staphylococcus aureus	Homo sapiens	not collected				2912	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473892	SA06121			Scaffold	10	120556		33	120	98	93	97.82	1.93	v1.2.4	PRJNA278295	
GCA_031571395.1	Staphylococcus aureus	Homo sapiens	not collected				2888	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473891	SA04905			Scaffold	8	120273		33	100	79	77	97.53	1.25	v1.2.4	PRJNA278295	
GCA_031571415.1	Staphylococcus aureus	Homo sapiens	not collected				3022	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473893	SA05963			Scaffold	8	122867		33	120	92	89	98.12	1.85	v1.2.4	PRJNA278295	
GCA_031571435.1	Staphylococcus aureus	Homo sapiens	not collected				2910	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473896	SA00759			Scaffold	9	121781		33	120	69	65	97.49	0.92	v1.2.4	PRJNA278295	
GCA_031571455.1	Staphylococcus aureus	Homo sapiens	not collected				2938	Best-placed reference protein set; GeneMarkS+	MaSuRCA v. 2.3.2	SAMN03473898	SA01317			Scaffold	6	166204		33	100	77	71	97.88	1.16	v1.2.4	PRJNA278295	
